cowID,farmID,epochStart,epochEnd,standing,laying,walking,ruminating,eating,other
43046,159,1614816000,1614902400,28407.55,43594.22,14458.9,30474.55,17508.76,38672.29
43363,159,1614816000,1614902400,42943.36,36189.78,7260.85,26241.8,23111.3,37034.33
43354,159,1614816000,1614902400,28309.27,43337.82,14728.55,29762.38,13431.31,43183.35
43370,159,1614816000,1614902400,27601.09,39052.3,19795.95,26699.32,12547.39,47203.68
43360,159,1614816000,1614902400,34338.04,34262.17,17823.15,21597.59,14067.06,50757.5
43356,159,1614816000,1614902400,29621.78,43258.64,13462.06,29884.46,14817.92,41584.93
42351,158,1614816000,1614902400,34987.96,39029.07,12520.09,33570.94,17628.79,35329.86
44333,158,1614816000,1614902400,48481.03,32032.42,5862.88,30191.27,28961.16,27242.42
42350,158,1614816000,1614902400,42831.83,30503.86,13042.57,29135.04,19108.71,38115.33
42319,158,1614816000,1614902400,39769.63,38677.32,7975.05,32177.22,16619.02,37633.16